,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
305,34,Reindeer Canyon,Christine,Jenkins,43,Daughter,Divorced,Female,Geoscientist,None,Christian
306,34,Reindeer Canyon,Charles,Jenkins,39,Son,Divorced,Male,Podiatrist,None,None
307,34,Reindeer Canyon,Bradley,Jenkins,36,Son,Divorced,Male,Tax adviser,None,None
308,34,Reindeer Canyon,Susan,Jenkins,31,Daughter,Single,Female,Web designer,None,Christian
309,34,Reindeer Canyon,Jessica,Jenkins,31,Daughter,Divorced,Female,"Engineer, civil (consulting)",None,Christian
310,34,Reindeer Canyon,Jemma,Jenkins,27,Daughter,Single,Female,Clothing/textile technologist,None,None
311,35,Reindeer Canyon,Laura,Sinclair,54,Head,Single,Female,Investment analyst,None,Catholic
312,35,Reindeer Canyon,Lawrence,Cooke,50,Partner,Single,Male,"Designer, graphic",None,Catholic
313,35,Reindeer Canyon,Louis,Sinclair,12,Son,NA,Male,Student,None,NA
314,36,Reindeer Canyon,Deborah,Ashton,39,Head,Single,Female,Make,None,None
315,36,Reindeer Canyon,Dale,Marshall,41,Partner,Single,Male,"Development worker, community",None,None
316,37,Reindeer Canyon,Alan,Hill,62,Head,Married,Male,"Teacher, adult education",None,None
317,37,Reindeer Canyon,Jodie,Hill,56,Wife,Married,Female,Barrister,None,None
318,37,Reindeer Canyon,Dale,Hill,12,Son,NA,Male,Student,None,NA
319,38,Reindeer Canyon,Dawn,Ali,27,Head,Married,Female,Sports coach,None,Catholic
320,38,Reindeer Canyon,Leigh,Ali,32,Husband,Married,Male,Toxicologist,None,Catholic
321,38,Reindeer Canyon,Jemma,Ali,5,Daughter,NA,Female,Student,None,NA
322,39,Reindeer Canyon,Anna,Jones,44,Head,Single,Female,Unemployed,None,Methodist
323,40,Reindeer Canyon,Teresa,Richardson,73,Head,Divorced,Female,Retired Fish farm manager,None,Catholic
324,41,Reindeer Canyon,Donna,Norris,77,Head,Divorced,Female,"Retired Research officer, government",None,None
325,42,Reindeer Canyon,Abbie,Archer,32,Head,Married,Female,Chiropractor,None,None
326,42,Reindeer Canyon,Joel,Archer,30,Husband,Married,Male,Interior and spatial designer,None,None
327,42,Reindeer Canyon,Patrick,Archer,9,Son,NA,Male,Student,None,NA
328,43,Reindeer Canyon,Beth,Dunn,19,Head,Single,Female,University Student,None,None
329,44,Reindeer Canyon,Samantha,Miller,43,Head,Single,Female,Nutritional therapist,None,Catholic
330,44,Reindeer Canyon,Russell,Bryan,17,Son,NA,M,Student,None,NA
331,44,Reindeer Canyon,Charlene,Bryan,10,Daughter,NA,Female,Student,None,NA
332,44,Reindeer Canyon,Louis,Bryan,6,Son,NA,Male,Student,None,NA
333,44,Reindeer Canyon,Aaron,Bryan,2,Son,NA,Male,Child,None,NA
334,1,Coronation Turnpike,Aimee,Byrne,82,Head,Widowed,Female,Retired Publishing rights manager,None,None
335,2,Coronation Turnpike,Lindsey,Warren,47,Head,Single,Female,Unemployed,None,Catholic
336,2,Coronation Turnpike,Benjamin,Warren,17,Son,NA,Male,Student,None,NA
337,3,Coronation Turnpike,Rita,Wells,34,Head,Married,Female,Energy engineer,None,Catholic
338,3,Coronation Turnpike,Gary,Wells,39,Husband,Married,Male,Operational researcher,None,None
339,3,Coronation Turnpike,Molly,Wells,6,Daughter,NA,Female,Student,None,NA
340,4,Coronation Turnpike,Stacey,Greenwood,82,Head,Widowed,Female,Retired Theatre director,None,Christian
341,5,Coronation Turnpike,Gregory,Carey,98,Head,Widowed,Male,"Retired Administrator, local government",None,Christian
342,6,Coronation Turnpike,Stephen,Khan,40,Head,Single,Male,"Administrator, education",None,Catholic
343,7,Coronation Turnpike,Gillian,Page,52,Head,Divorced,Female,Computer games developer,None,Christian
344,8,Coronation Turnpike,Jill,Williamson,63,Head,Widowed,Female,Mudlogger,None,None
345,9,Coronation Turnpike,Frank,Wright,81,Head,Widowed,Male,"Retired Engineer, electronics",None,Christian
346,10,Coronation Turnpike,Hannah,Reed,81,Head,Divorced,Female,Retired Podiatrist,None,Methodist
347,1,Honeysuckle Station,Jacqueline,Smith,43,Head,Married,Female,Adult guidance worker,None,Methodist
348,1,Honeysuckle Station,Jake,Smith,46,Husband,Married,Male,Arboriculturist,None,Methodist
349,1,Honeysuckle Station,Derek,Smith,20,Son,Single,M,University Student,None,Methodist
350,1,Honeysuckle Station,Susan,Smith,16,Daughter,NA,Female,Student,None,NA
351,2,Honeysuckle Station,Christopher,Rhodes,48,Head,Single,Male,Advertising copywriter,None,None
352,3,Honeysuckle Station,Irene,Stone,30,Head,Married,F,Writer,None,None
353,3,Honeysuckle Station,Paul,Stone,29,Husband,Married,Male,Lexicographer,None,None
354,3,Honeysuckle Station,Rachel,Stone,2,Daughter,NA,Female,Child,None,NA
355,3,Honeysuckle Station,Sally,Wilson,44,Lodger,Single,Female,"Engineer, production",None,Catholic
356,4,Honeysuckle Station,Ann,Phillips,31,Head,Married,Female,Technical brewer,None,Catholic
357,4,Honeysuckle Station,Victor,Phillips,38,Husband,Married,Male,"Programmer, applications",None,None
358,4,Honeysuckle Station,Nicola,Phillips,10,Daughter,NA,Female,Student,None,NA
359,4,Honeysuckle Station,Howard,Phillips,8,Son,NA,Male,Student,None,NA
360,5,Honeysuckle Station,Kelly,Connolly,50,Head,Single,Female,Trade mark attorney,None,Methodist
361,5,Honeysuckle Station,Stuart,Phillips,52,Partner,Single,Male,Sports administrator,None,Methodist
362,5,Honeysuckle Station,Eileen,Connolly,16,Daughter,NA,Female,Student,None,NA
363,5,Honeysuckle Station,Barry,Connolly,16,Son,NA,Male,Student,None,NA
364,6,Honeysuckle Station,Leanne,Harris,57,Head,Divorced,female,Unemployed,None,Christian
365,6,Honeysuckle Station,Brenda,Harris,32,Daughter,Single,Female,Microbiologist,None,Christian
366,6,Honeysuckle Station,Ashleigh,Harris,32,Daughter,Single,Female,Unemployed,None,Christian
367,6,Honeysuckle Station,Gail,Harris,24,Daughter,Divorced,Female,"Buyer, industrial",None,None
368,7,Honeysuckle Station,Josephine,Kelly,56,Head,Married,Female,"Scientist, research (life sciences)",None,Methodist
369,7,Honeysuckle Station,Tom,Kelly,59,Husband,Married,Male,"Buyer, retail",None,Methodist
370,7,Honeysuckle Station,Justin,Murphy,31,Son,Single,Male,"Therapist, occupational",None,Methodist
371,7,Honeysuckle Station,Karen,Murphy,29,Daughter,Single,Female,Homeopath,None,Methodist
372,7,Honeysuckle Station,Leonard,Murphy,1,Son,NA,Male,Child,None,NA
373,8,Honeysuckle Station,Kathleen,Hunt,47,Head,Single,Female,Fisheries officer,None,Catholic
374,8,Honeysuckle Station,Graeme,Carr,45,Partner,Single,Male,Restaurant manager,None,Catholic
375,8,Honeysuckle Station,Sandra,Parkin-Hunt,9,Daughter,NA,Female,Student,None,NA
376,8,Honeysuckle Station,Stacey,Parkin-Hunt,9,Daughter,NA,Female,Student,None,NA
377,9,Honeysuckle Station,Anne,O'Neill,47,Head,Married,Female,Ecologist,None,Methodist
378,9,Honeysuckle Station,Cameron,O'Neill,50,Husband,Married,Male,Warden/ranger,None,Methodist
379,9,Honeysuckle Station,Geoffrey,O'Neill,15,Son,NA,Male,Student,None,NA
380,10,Honeysuckle Station,Jodie,Smith,45,Head,Married,Female,"Investment banker, operational",None,Catholic
381,10,Honeysuckle Station,Colin,Smith,44,Husband,Married,Male,Recycling officer,None,Catholic
382,10,Honeysuckle Station,Tony,Smith,17,Son,NA,Male,Student,None,NA
383,10,Honeysuckle Station,Dennis,Smith,13,Son,NA,Male,Student,None,NA
384,11,Honeysuckle Station,Yvonne,Reid,48,Head,Married,Female,Nutritional therapist,None,Christian
385,11,Honeysuckle Station,Conor,Reid,50,Husband,Married,Male,Teaching laboratory technician,None,Christian
386,11,Honeysuckle Station,Abigail,Reid,4,Daughter,NA,Female,Child,None,NA
387,11,Honeysuckle Station,Jean,Stephens,48,Lodger,Single,Female,Illustrator,None,None
388,12,Honeysuckle Station,Marion,Woods,68,Head,Widowed,Female,Retired Chief Strategy Officer,None,Catholic
389,12,Honeysuckle Station,Abigail,Woods,39,Daughter,Single,Female,Unemployed,None,None
390,12,Honeysuckle Station,Guy,Duffy,39,Son,Divorced,Male,Dietitian,None,Catholic
391,12,Honeysuckle Station,Neil,Duffy,37,Son,Divorced,Male,Cytogeneticist,None,Catholic
392,13,Honeysuckle Station,Gail,Kaur,44,Head,Single,Female,Technical author,None,None
393,13,Honeysuckle Station,Conor,Wilkins,47,Partner,Single,Male,Land,None,None
394,13,Honeysuckle Station,Linda,Kaur,15,Daughter,NA,Female,Student,None,NA
395,13,Honeysuckle Station,Vanessa,Kaur,13,Daughter,NA,Female,Student,None,NA
396,13,Honeysuckle Station,James,Kaur,12,Son,NA,Male,Student,None,NA
397,14,Honeysuckle Station,Diana,Nelson,61,Head,Married,Female,Personnel officer,None,Christian
398,14,Honeysuckle Station,Hazel,Nelson,62,Wife,Married,Female,Chartered loss adjuster,None,Christian
399,14,Honeysuckle Station,Joyce,Cox,31,Daughter,Single,Female,Homeopath,None,None
400,14,Honeysuckle Station,Jamie,Cox,27,Son,Single,Male,Exercise physiologist,None,Christian
401,15,Honeysuckle Station,Alexandra,Willis,39,Head,Married,Female,Social worker,None,None
402,15,Honeysuckle Station,Gregory,Willis,42,Husband,Married,Male,Osteopath,None,None
403,15,Honeysuckle Station,George,Willis,16,Son,NA,Male,Student,None,NA
404,15,Honeysuckle Station,Joel,Willis,15,Son,NA,Male,Student,None,NA
405,16,Honeysuckle Station,Amanda,Baxter,40,Head,Married,Female,Risk manager,None,None
406,16,Honeysuckle Station,Kenneth,Baxter,41,Husband,Married,Male,Environmental consultant,None,None
407,16,Honeysuckle Station,Jamie,Baxter,15,Son,NA,Male,Student,None,NA
408,16,Honeysuckle Station,Brenda,Baxter,11,Daughter,NA,Female,Student,None,NA
409,17,Honeysuckle Station,Teresa,Brown,53,Head,Married,Female,Forensic scientist,None,Methodist
410,17,Honeysuckle Station,Clifford,Brown,52,Husband,Married,Male,Cabin crew,None,Methodist
411,17,Honeysuckle Station,Phillip,Davey,28,Son,Divorced,Male,"Administrator, charities/voluntary organisations",None,Methodist
412,17,Honeysuckle Station,Josh,Davey,24,Son,Single,Male,Holiday representative,None,None
413,17,Honeysuckle Station,Samuel,Davey,17,Son,NA,Male,Student,None,NA
414,17,Honeysuckle Station,Lawrence,Davey,14,Son,NA,Male,Student,None,NA
415,17,Honeysuckle Station,Alan,Davey,10,Son,NA,Male,Student,None,NA
416,18,Honeysuckle Station,Katherine,Jones,42,Head,Single,Female,Social worker,None,Methodist
417,18,Honeysuckle Station,Patrick,Jones,9,Son,NA,Male,Student,None,NA
418,18,Honeysuckle Station,Nicole,Jones,7,Daughter,NA,Female,Student,None,NA
419,18,Honeysuckle Station,Jennifer,Jones,6,Daughter,NA,Female,Student,None,NA
420,19,Honeysuckle Station,Lorraine,Davis,37,Head,Married,Female,"Librarian, academic",None,None
421,19,Honeysuckle Station,Bernard,Davis,43,Husband,Married,Male,Technical author,None,None
422,19,Honeysuckle Station,Melissa,Davis,10,Daughter,NA,F,Student,None,NA
423,19,Honeysuckle Station,Henry,Davis,3,Son,NA,Male,Child,None,NA
424,19,Honeysuckle Station,Lee,Davis,0,Son,NA,Male,Child,None,NA
425,20,Honeysuckle Station,Elaine,Thomson,36,Head,Single,Female,Meteorologist,None,Methodist
426,20,Honeysuckle Station,Cameron,Williams,38,Partner,Single,Male,Dentist,None,Methodist
427,20,Honeysuckle Station,Lisa,Thomson,9,Daughter,NA,Female,Student,None,NA
428,20,Honeysuckle Station,Lorraine,Thomson,6,Daughter,NA,Female,Student,None,NA
429,20,Honeysuckle Station,Marian,Thomson,5,Daughter,NA,Female, ,None,NA
430,20,Honeysuckle Station,Bethany,Thomson,0,Daughter,NA,Female,Child,None,NA
431,21,Honeysuckle Station,Olivia,Watson,35,Head,Single,Female,Comptroller,None,Christian
432,21,Honeysuckle Station,Natasha,Watson,5,Daughter,NA,Female,Student,None,NA
433,21,Honeysuckle Station,Billy,Watson,5,Son,NA,Male,Student,None,NA
434,21,Honeysuckle Station,Cheryl,Watson,1,Daughter,NA,Female,Child,None,NA
435,22,Honeysuckle Station,Harry,Campbell,38,Head,Single,Male,General practice doctor,None,None
436,23,Honeysuckle Station,Lisa,Mason-Wilson,57,Head,Married,Female,Communications engineer,None,Christian
437,23,Honeysuckle Station,Keith,Mason-Wilson,61,Husband,Married,Male,Land/geomatics surveyor,None,Christian
438,23,Honeysuckle Station,Dennis,Mason-Wilson,30,Son,Single,Male,Insurance broker,None,None
439,23,Honeysuckle Station,Emily,Mason-Wilson,30,Daughter,Divorced,Female,"Engineer, broadcasting (operations)",None,Christian
440,24,Honeysuckle Station,Suzanne,Jones,45,Head,Married,Female,Chiropodist,None,None
441,24,Honeysuckle Station,Donald,Jones,47,Husband,Married,Male,"Civil engineer, contracting",None,None
442,24,Honeysuckle Station,Paula,Jones,10,Daughter,NA,Female,Student,None,NA
443,24,Honeysuckle Station,Lynne,Jones,8,Daughter,NA,Female,Student,None,NA
444,25,Honeysuckle Station,Emily,Moran,31,Head,Single,Female,Unemployed,None,Catholic
445,25,Honeysuckle Station,Gemma,Moran,3,Daughter,NA,Female,Child,None,NA
446,25,Honeysuckle Station,Stephen,Macdonald-Moran,1,Son,NA,male,Child,None,NA
447,25,Honeysuckle Station,Dean,Reid,43,Cousin,Divorced,Male,"Producer, radio",None,Methodist
448,26,Honeysuckle Station,Sian,Hargreaves,27,Head,Single,Female,Art gallery manager,None,None
449,26,Honeysuckle Station,Nicole,Hargreaves,0,Daughter,NA,Female,Child,None,NA
450,26,Honeysuckle Station,Marian,Brown,41,Lodger,Divorced,Female,Unemployed,None,Catholic
451,26,Honeysuckle Station,Ross,Booth,43,Lodger,Single,Male,Tourism officer,None,Methodist
452,27,Honeysuckle Station,Melanie,Scott,55,Head,Married,Female,Primary school teacher,None,Catholic
453,27,Honeysuckle Station,Steven,Scott,54,Husband,Married,Male,Unemployed,None,Catholic
454,27,Honeysuckle Station,Justin,Scott,26,Son,Single,Male,Neurosurgeon,None,Catholic
455,27,Honeysuckle Station,Dawn,Scott,20,Daughter,Single,Female,University Student,None,None
456,27,Honeysuckle Station,Kimberley,Scott,15,Daughter,NA,Female,Student,None,NA
457,28,Honeysuckle Station,Lorraine,Hunter,46,Head,Married,Female,Theatre stage manager,None,Christian
458,28,Honeysuckle Station,Steven,Hunter,53,Husband,Married,Male,Mining engineer,None,Christian
459,28,Honeysuckle Station,Lydia,Hunter,20,Daughter,Single,Female,University Student,None,None
460,28,Honeysuckle Station,Vanessa,Hunter,16,Daughter,NA,Female,Student,None,NA
461,29,Honeysuckle Station,Lesley,Patel,37,Head,Married,F,Oncologist,None,Catholic
462,29,Honeysuckle Station,Glenn,Patel,40,Husband,Married,Male,Copy,None,None
463,29,Honeysuckle Station,Dawn,Johnson,33,Lodger,Single,Female,Audiological scientist,None,None
464,29,Honeysuckle Station,Lisa,Bryant,42,Cousin,Single,Female,Clinical psychologist,None,Catholic
465,30,Honeysuckle Station,Susan,Cole,50,Head,Married,Female,Sports therapist,None,Methodist
466,30,Honeysuckle Station,Carl,Cole,52,Husband,Married,Male,Medical secretary,None,None
467,30,Honeysuckle Station,Sheila,Cole,24,Daughter,Divorced,F,Camera operator,None,None
468,30,Honeysuckle Station,Stanley,Cole,20,Son,Divorced,Male,University Student,None,Methodist
469,30,Honeysuckle Station,Terry,Cole,20,Son,Single,Male,University Student,None,Methodist
470,30,Honeysuckle Station,Patricia,Cole,19,Daughter,Single,Female,University Student,None,Methodist
471,31,Honeysuckle Station,Kelly,Walker,68,Head,Married,Female,"Retired Accountant, chartered",None,Christian
472,31,Honeysuckle Station,Colin,Walker,71,Husband,Married,Male,Retired Geochemist,None,None
473,31,Honeysuckle Station,Irene,Walker,33,Daughter,Single,Female,Purchasing manager,None,Christian
474,31,Honeysuckle Station,John,Walker,32,Son,Widowed,Male,Chief Technology Officer,None,Christian
475,32,Honeysuckle Station,Danny,Jones,35,Head,Single,Male,Volunteer coordinator,None,None
476,33,Honeysuckle Station,Claire,Berry,36,Head,Single,Female,Hydrographic surveyor,None,None
477,33,Honeysuckle Station,Simon,Webb,38,Partner,Single,Male,Licensed conveyancer,None,None
478,33,Honeysuckle Station,Kim,Berry,4,Daughter,NA,Female,Child,None,NA
479,33,Honeysuckle Station,Patrick,Savage,1,Son,NA,Male,Child,None,NA
480,34,Honeysuckle Station,Kate,Black,35,Head,Divorced,Female,Human resources officer,None,Christian
481,34,Honeysuckle Station,Rachel,Black,12,Daughter,NA,Female,Student,None,NA
482,34,Honeysuckle Station,Jacqueline,Black,11,Daughter,NA,Female,Student,None,NA
483,34,Honeysuckle Station,Rhys,Black,9,Son,NA,Male,Student,None,NA
484,34,Honeysuckle Station,Lynn,Mitchell,9,Daughter,NA,Female,Student,None,NA
485,35,Honeysuckle Station,Julie,Knight,46,Head,Single,Female,Associate Professor,None,Christian
486,35,Honeysuckle Station,Charlie,Knight-Whitehead,50,Partner,Single,Male,Exhibition designer,None,Christian
487,35,Honeysuckle Station,Adrian,Knight-Whitehead,6,Son,NA,Male,Student,None,NA
488,35,Honeysuckle Station,Scott,Smith-Knight-Whitehead,4,Son,NA,Male,Child,None,NA
489,36,Honeysuckle Station,Karen,Cunningham,48,Head,Divorced,Female,Unemployed,None,None
490,36,Honeysuckle Station,Lesley,Cunningham,17,Daughter,NA,Female,Student,None,NA
491,36,Honeysuckle Station,Katy,Cunningham,11,Daughter,NA,Female,Student,None,NA
492,36,Honeysuckle Station,Holly,Cunningham,10,Daughter,NA,Female,Student,None,NA
493,36,Honeysuckle Station,Alison,Cunningham,6,Daughter,NA,Female,Student,None,NA
494,36,Honeysuckle Station,Elizabeth,Cunningham,3,Daughter,NA,Female,Child,None,NA
495,37,Honeysuckle Station,Shannon,Kerr,40,Head,Divorced,Female,"Designer, graphic",None,None
496,37,Honeysuckle Station,Steven,Kerr,11,Son,NA,Male,Student,None,NA
497,37,Honeysuckle Station,Christian,Kerr,7,Son,NA,M,Student,None,NA
498,37,Honeysuckle Station,Pauline,Kerr,3,Daughter,NA,Female,Child,None,NA
499,38,Honeysuckle Station,Paula,Warner,59,Head,Married,Female,Graphic designer,None,Christian
500,38,Honeysuckle Station,Hugh,Warner,53,Husband,Married,Male,Orthoptist,None,None
501,38,Honeysuckle Station,Graham,Warner,30,Son,Single,Male,Insurance broker,None,None
502,38,Honeysuckle Station,Anne,Warner,25,Daughter,Single,Female,Health visitor,None,Christian
503,39,Honeysuckle Station,Jasmine,Leach,31,Head,Single,Female,PhD Student,None,Christian
504,39,Honeysuckle Station,Amber,Wall,23,None,Single,Female,PhD Student,None,None
505,39,Honeysuckle Station,Gillian,Williams,19,None,Single,Female,University Student,None,None
506,39,Honeysuckle Station,Antony,Price,21,None,Single,Male,University Student,None,Christian
507,1,Lisbon Drive,Claire,Howard,45,Head,Married,Female,"Scientist, biomedical",None,Christian
508,1,Lisbon Drive,Alan,Howard,50,Husband,Married,Male,Geographical information systems officer,None,Christian
509,1,Lisbon Drive,Kevin,Howard,21,Son,Single,Male,University Student,None,Christian
510,1,Lisbon Drive,Justin,Howard,17,Son,NA,Male,Student,None,NA
511,2,Lisbon Drive,Brenda,Morgan,57,Head,Married,Female,Advertising copywriter,None,None
512,2,Lisbon Drive,Lawrence,Morgan,59,Husband,Married,Male,Therapeutic radiographer,None,None
513,2,Lisbon Drive,Chelsea,Morgan,20,Daughter,Single,Female,University Student,None,None
514,2,Lisbon Drive,Jack,Morgan,9,Son,NA,Male,Student,None,NA
515,3,Lisbon Drive,Lorraine,Simpson,36,Head,Married,Female,Claims inspector/assessor,None,Christian
516,3,Lisbon Drive,Trevor,Robinson,38,Husband,Married,Male,Operations geologist,None,Christian
517,3,Lisbon Drive,Cameron,Simpson,15,Son,NA,Male,Student,None,NA
518,3,Lisbon Drive,Duncan,Simpson,13,Son,NA,Male,Student,None,NA
519,4,Lisbon Drive,Jane,Griffin,68,Head,Single,Female,Unemployed,None,Methodist
520,4,Lisbon Drive,Lindsey,Griffin,35,Daughter,Single,Female,Operational researcher,None,Methodist
521,4,Lisbon Drive,Reece,Griffin,31,Son,Single,Male,Prison officer,None,None
522,4,Lisbon Drive,Dominic,Griffin,31,Son,Single,Male,Social worker,None,Methodist
523,5,Lisbon Drive,Patricia,Warner,44,Head,Single,Female,Community education officer,None,None
524,5,Lisbon Drive,Damian,Warner,12,Son,NA,Male,Student,None,NA
